Месяц	|	Сумма	|	Сумма накопительно	|	Кол-во рабочих дней
MARCH.2020	|	21000.00	|	21000.00	|	21
APRIL.2020	|	22000.00	|	43000.00	|	22
MAY.2020	|	51000.00	|	94000.00	|	17
JUNE.2020	|	60000.00	|	154000.00	|	20
JULY.2020	|	66000.00	|	220000.00	|	22
AUGUST.2020	|	63000.00	|	283000.00	|	21
SEPTEMBER.2020	|	22000.00	|	305000.00	|	22
OCTOBER.2020	|	22000.00	|	327000.00	|	22
NOVEMBER.2020	|	20000.00	|	347000.00	|	20
DECEMBER.2020	|	23000.00	|	370000.00	|	23
JANUARY.2021	|	15000.00	|	385000.00	|	15
FEBRUARY.2021	|	19000.00	|	404000.00	|	19
MARCH.2021	|	22000.00	|	426000.00	|	22
APRIL.2021	|	22000.00	|	448000.00	|	22
MAY.2021	|	19000.00	|	467000.00	|	19
JUNE.2021	|	21000.00	|	488000.00	|	21
JULY.2021	|	22000.00	|	510000.00	|	22
AUGUST.2021	|	22000.00	|	532000.00	|	22
SEPTEMBER.2021	|	22000.00	|	554000.00	|	22
OCTOBER.2021	|	21000.00	|	575000.00	|	21
NOVEMBER.2021	|	21000.00	|	596000.00	|	21
DECEMBER.2021	|	23000.00	|	619000.00	|	23
JANUARY.2022	|	21000.00	|	640000.00	|	21
FEBRUARY.2022	|	20000.00	|	660000.00	|	20
MARCH.2022	|	23000.00	|	683000.00	|	23
APRIL.2022	|	21000.00	|	704000.00	|	21
MAY.2022	|	22000.00	|	726000.00	|	22
JUNE.2022	|	22000.00	|	748000.00	|	22
JULY.2022	|	21000.00	|	769000.00	|	21
AUGUST.2022	|	23000.00	|	792000.00	|	23
SEPTEMBER.2022	|	22000.00	|	814000.00	|	22
OCTOBER.2022	|	21000.00	|	835000.00	|	21
NOVEMBER.2022	|	22000.00	|	857000.00	|	22
DECEMBER.2022	|	22000.00	|	879000.00	|	22
JANUARY.2023	|	22000.00	|	901000.00	|	22
FEBRUARY.2023	|	20000.00	|	921000.00	|	20
MARCH.2023	|	23000.00	|	944000.00	|	23
APRIL.2023	|	20000.00	|	964000.00	|	20
MAY.2023	|	23000.00	|	987000.00	|	23
JUNE.2023	|	22000.00	|	1009000.00	|	22
JULY.2023	|	21000.00	|	1030000.00	|	21
AUGUST.2023	|	23000.00	|	1053000.00	|	23
SEPTEMBER.2023	|	21000.00	|	1074000.00	|	21
OCTOBER.2023	|	22000.00	|	1096000.00	|	22
NOVEMBER.2023	|	22000.00	|	1118000.00	|	22
DECEMBER.2023	|	21000.00	|	1139000.00	|	21
JANUARY.2024	|	23000.00	|	1162000.00	|	23
FEBRUARY.2024	|	21000.00	|	1183000.00	|	21
MARCH.2024	|	21000.00	|	1204000.00	|	21
APRIL.2024	|	22000.00	|	1226000.00	|	22
MAY.2024	|	23000.00	|	1249000.00	|	23
JUNE.2024	|	20000.00	|	1269000.00	|	20
JULY.2024	|	23000.00	|	1292000.00	|	23
AUGUST.2024	|	22000.00	|	1314000.00	|	22
SEPTEMBER.2024	|	21000.00	|	1335000.00	|	21
OCTOBER.2024	|	23000.00	|	1358000.00	|	23
NOVEMBER.2024	|	21000.00	|	1379000.00	|	21
DECEMBER.2024	|	22000.00	|	1401000.00	|	22
JANUARY.2025	|	23000.00	|	1424000.00	|	23
FEBRUARY.2025	|	20000.00	|	1444000.00	|	20
MARCH.2025	|	21000.00	|	1465000.00	|	21
APRIL.2025	|	22000.00	|	1487000.00	|	22
MAY.2025	|	22000.00	|	1509000.00	|	22
JUNE.2025	|	21000.00	|	1530000.00	|	21
