Месяц	|	Сумма	|	Сумма накопительно	|	Кол-во рабочих дней
MARCH.2020	|	42000.00	|	42000.00	|	21
APRIL.2020	|	44000.00	|	86000.00	|	22
MAY.2020	|	23000.00	|	109000.00	|	17
JUNE.2020	|	20000.00	|	129000.00	|	20
JULY.2020	|	22000.00	|	151000.00	|	22
AUGUST.2020	|	21000.00	|	172000.00	|	21
SEPTEMBER.2020	|	22000.00	|	194000.00	|	22
OCTOBER.2020	|	22000.00	|	216000.00	|	22
NOVEMBER.2020	|	20000.00	|	236000.00	|	20
DECEMBER.2020	|	23000.00	|	259000.00	|	23
JANUARY.2021	|	15000.00	|	274000.00	|	15
FEBRUARY.2021	|	19000.00	|	293000.00	|	19
MARCH.2021	|	22000.00	|	315000.00	|	22
APRIL.2021	|	22000.00	|	337000.00	|	22
MAY.2021	|	19000.00	|	356000.00	|	19
JUNE.2021	|	21000.00	|	377000.00	|	21
JULY.2021	|	22000.00	|	399000.00	|	22
AUGUST.2021	|	22000.00	|	421000.00	|	22
SEPTEMBER.2021	|	22000.00	|	443000.00	|	22
OCTOBER.2021	|	21000.00	|	464000.00	|	21
NOVEMBER.2021	|	21000.00	|	485000.00	|	21
DECEMBER.2021	|	23000.00	|	508000.00	|	23
JANUARY.2022	|	21000.00	|	529000.00	|	21
FEBRUARY.2022	|	20000.00	|	549000.00	|	20
MARCH.2022	|	23000.00	|	572000.00	|	23
APRIL.2022	|	21000.00	|	593000.00	|	21
MAY.2022	|	22000.00	|	615000.00	|	22
JUNE.2022	|	22000.00	|	637000.00	|	22
JULY.2022	|	21000.00	|	658000.00	|	21
AUGUST.2022	|	23000.00	|	681000.00	|	23
SEPTEMBER.2022	|	22000.00	|	703000.00	|	22
OCTOBER.2022	|	21000.00	|	724000.00	|	21
NOVEMBER.2022	|	22000.00	|	746000.00	|	22
DECEMBER.2022	|	22000.00	|	768000.00	|	22
JANUARY.2023	|	22000.00	|	790000.00	|	22
FEBRUARY.2023	|	20000.00	|	810000.00	|	20
MARCH.2023	|	23000.00	|	833000.00	|	23
APRIL.2023	|	20000.00	|	853000.00	|	20
MAY.2023	|	23000.00	|	876000.00	|	23
JUNE.2023	|	22000.00	|	898000.00	|	22
JULY.2023	|	21000.00	|	919000.00	|	21
AUGUST.2023	|	23000.00	|	942000.00	|	23
SEPTEMBER.2023	|	21000.00	|	963000.00	|	21
OCTOBER.2023	|	22000.00	|	985000.00	|	22
NOVEMBER.2023	|	22000.00	|	1007000.00	|	22
DECEMBER.2023	|	21000.00	|	1028000.00	|	21
JANUARY.2024	|	23000.00	|	1051000.00	|	23
FEBRUARY.2024	|	21000.00	|	1072000.00	|	21
MARCH.2024	|	21000.00	|	1093000.00	|	21
APRIL.2024	|	22000.00	|	1115000.00	|	22
MAY.2024	|	23000.00	|	1138000.00	|	23
JUNE.2024	|	20000.00	|	1158000.00	|	20
JULY.2024	|	23000.00	|	1181000.00	|	23
AUGUST.2024	|	22000.00	|	1203000.00	|	22
SEPTEMBER.2024	|	21000.00	|	1224000.00	|	21
OCTOBER.2024	|	23000.00	|	1247000.00	|	23
NOVEMBER.2024	|	21000.00	|	1268000.00	|	21
DECEMBER.2024	|	22000.00	|	1290000.00	|	22
JANUARY.2025	|	23000.00	|	1313000.00	|	23
FEBRUARY.2025	|	20000.00	|	1333000.00	|	20
MARCH.2025	|	21000.00	|	1354000.00	|	21
APRIL.2025	|	22000.00	|	1376000.00	|	22
MAY.2025	|	22000.00	|	1398000.00	|	22
JUNE.2025	|	21000.00	|	1419000.00	|	21
JULY.2025	|	23000.00	|	1442000.00	|	23
AUGUST.2025	|	21000.00	|	1463000.00	|	21
SEPTEMBER.2025	|	22000.00	|	1485000.00	|	22
OCTOBER.2025	|	23000.00	|	1508000.00	|	23
NOVEMBER.2025	|	20000.00	|	1528000.00	|	20
DECEMBER.2025	|	2000.00	|	1530000.00	|	2
